,StepTotal,StepTotal.1,StepTotal.2,StepTotal.3,StepTotal.4,StepTotal.5,StepTotal.6,StepTotal.7,StepTotal.8,StepTotal.9,StepTotal.10,StepTotal.11,StepTotal.12,StepTotal.13,StepTotal.14,StepTotal.15,StepTotal.16,StepTotal.17,StepTotal.18,StepTotal.19,StepTotal.20,StepTotal.21,StepTotal.22,StepTotal.23,StepTotal.24,StepTotal.25,StepTotal.26,StepTotal.27,StepTotal.28,StepTotal.29,StepTotal.30
62,9009.0,8966.0,8353.0,13907.0,14183.0,8453.0,7995.0,6707.0,8109.0,11970.0,11370.0,2019.0,6592.0,8624.0,8307.0,7941.0,8005.0,9923.0,9504.0,6847.0,11618.0,10045.0,11478.0,10065.0,3103.0,6096.0,16699.0,14068.0,18092.0,18053.0,14587.0
63,9992.0,0.0,9336.0,15595.0,25385.0,14577.0,16667.0,13360.0,6754.0,5423.0,17913.0,14324.0,8049.0,11122.0,9057.0,4667.0,0.0,9781.0,21383.0,20109.0,11013.0,8025.0,8682.0,17535.0,20154.0,23285.0,13004.0,13440.0,10216.0,5633.0,17422.0
64,4948.0,16573.0,18002.0,4126.0,3869.0,10004.0,14565.0,6295.0,12424.0,7964.0,9518.0,4088.0,1958.0,4534.0,2569.0,10398.0,4276.0,4591.0,3164.0,5880.0,2499.0,7824.0,9053.0,12367.0,11307.0,1531.0,2585.0,12141.0,9159.0,15682.0,16859.0
65,1480.0,19521.0,4950.0,3575.0,11677.0,3755.0,5117.0,5896.0,3294.0,7644.0,9196.0,11668.0,4698.0,13407.0,10886.0,3912.0,9188.0,5231.0,13878.0,11051.0,8004.0,30386.0,37375.0,26579.0,29694.0,23866.0,30013.0,21101.0,22026.0,1895.0,7038.0
66,13270.0,9896.0,13112.0,15140.0,2522.0,10103.0,20349.0,9983.0,20540.0,7053.0,4499.0,5678.0,11777.0,3154.0,20699.0,16828.0,14564.0,27465.0,7126.0,3530.0,19395.0,22027.0,14825.0,28426.0,21696.0,821.0,11925.0,19729.0,24865.0,17319.0,22108.0
67,27582.0,13132.0,16795.0,27038.0,14171.0,11759.0,22070.0,14260.0,11559.0,12764.0,27581.0,26044.0,12709.0,12728.0,20143.0,8596.0,8501.0,14931.0,11955.0,17636.0,15932.0,18123.0,5026.0,9142.0,19683.0,21144.0,15255.0,18885.0,12161.0,3785.0,2500.0
68,13106.0,12277.0,11645.0,16011.0,21420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12045.0,15082.0,21065.0,12903.0,28063.0,19197.0,12004.0,8219.0,19781.0,27085.0,30265.0,14753.0,11071.0,1244.0,17736.0,26795.0,13561.0,16191.0
69,18566.0,14748.0,7404.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,10575.0,15274.0,15986.0,23345.0,23901.0,15237.0,4352.0,5291.0,8547.0,17119.0,25874.0,21677.0,22065.0,6318.0,17824.0,14187.0,18272.0,15063.0,12390.0,14532.0,11376.0
70,14737.0,13436.0,30190.0,16513.0,19682.0,2207.0,3443.0,9662.0,13192.0,18606.0,17586.0,21344.0,16311.0,9921.0,6737.0,13734.0,11587.0,12303.0,15141.0,11619.0,17816.0,4327.0,14434.0,12083.0,23947.0,19426.0,8535.0,12832.0,1240.0,12886.0,15865.0
71,10835.0,10000.0,22077.0,10512.0,3333.0,17520.0,14459.0,20565.0,24919.0,13301.0,11995.0,4267.0,13909.0,9744.0,18838.0,13645.0,22452.0,10979.0,19452.0,13637.0,27032.0,20437.0,12226.0,21049.0,12603.0,2753.0,15457.0,20188.0,11157.0,13039.0,16310.0
72,6426.0,805.0,828.0,22320.0,17713.0,6207.0,1516.0,11295.0,10440.0,14209.0,11725.0,20166.0,23969.0,13294.0,10972.0,14802.0,23473.0,14445.0,16882.0,13698.0,17057.0,3429.0,3269.0,13387.0,13882.0,5230.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,55.0,5912.0,834.0,5984.0,9029.0,11806.0,10917.0,9390.0,7200.0,19223.0,3540.0,36318.0,26012.0,21264.0,21099.0,17218.0,0.0,0.0,20915.0,23366.0,32974.0,6910.0,4586.0,903.0,5026.0,22002.0,20949.0,18709.0,9121.0
74,23131.0,18877.0,2968.0,18119.0,8868.0,12592.0,16910.0,15071.0,1146.0,1231.0,13076.0,25369.0,11828.0,13386.0,12221.0,2403.0,1367.0,4096.0,16099.0,9849.0,19111.0,17162.0,1161.0,4920.0,10688.0,15290.0,22507.0,14097.0,12988.0,7721.0,3296.0
75,18924.0,18336.0,15375.0,20230.0,11657.0,10972.0,37255.0,24167.0,18940.0,11702.0,12548.0,13242.0,4238.0,16954.0,10228.0,11196.0,14413.0,6720.0,16906.0,32210.0,36537.0,23665.0,443.0,22493.0,1154.0,22243.0,3299.0,15212.0,977.0,0.0,0.0
76,171.0,10750.0,12307.0,3169.0,3887.0,3766.0,4578.0,7143.0,13748.0,15947.0,9360.0,5966.0,3809.0,5900.0,9813.0,6429.0,13506.0,3544.0,5936.0,12618.0,17604.0,10338.0,6952.0,26122.0,20480.0,5272.0,10354.0,10016.0,5778.0,4579.0,10868.0
77,2234.0,3674.0,11315.0,17788.0,5459.0,8960.0,13480.0,19051.0,11668.0,7808.0,5347.0,14994.0,5108.0,17437.0,2160.0,4657.0,4862.0,2770.0,5164.0,5071.0,26745.0,14538.0,3858.0,4713.0,5496.0,6548.0,15384.0,10228.0,10153.0,16628.0,18676.0
78,4904.0,19022.0,5025.0,10115.0,4262.0,2402.0,811.0,2538.0,4737.0,2710.0,14709.0,10059.0,11211.0,2695.0,4565.0,7260.0,14818.0,21404.0,7558.0,12012.0,8734.0,4006.0,6238.0,17688.0,37126.0,23826.0,7119.0,4015.0,12065.0,2553.0,14331.0
79,17125.0,4690.0,2599.0,8692.0,13583.0,17925.0,5911.0,17040.0,10490.0,4005.0,5645.0,6877.0,5650.0,9389.0,15915.0,11850.0,5985.0,18335.0,2866.0,8896.0,10408.0,17635.0,2665.0,7802.0,4885.0,3002.0,10176.0,3166.0,18094.0,30841.0,8752.0
80,3372.0,4600.0,5834.0,9773.0,14669.0,4788.0,4452.0,14137.0,10044.0,4408.0,8603.0,30522.0,19075.0,26213.0,25523.0,34543.0,27355.0,18863.0,4769.0,3292.0,6755.0,4751.0,6485.0,5488.0,4635.0,10977.0,6681.0,8778.0,6915.0,5033.0,5054.0
81,6362.0,9091.0,14455.0,3367.0,6486.0,7563.0,4392.0,5042.0,13621.0,4616.0,7231.0,5318.0,8963.0,15129.0,4420.0,3414.0,15392.0,10098.0,6357.0,6131.0,9406.0,7649.0,2809.0,469.0,8055.0,8290.0,7222.0,3469.0,5054.0,12440.0,542.0
82,5090.0,3102.0,4217.0,8765.0,8531.0,5692.0,324.0,4251.0,11415.0,3822.0,2727.0,8457.0,9790.0,2394.0,4075.0,11289.0,13383.0,6632.0,4536.0,4204.0,9053.0,9377.0,7817.0,5089.0,3702.0,8291.0,5275.0,658.0,5648.0,3628.0,4327.0
83,4870.0,12568.0,4162.0,2430.0,4813.0,13753.0,3183.0,4000.0,10766.0,10511.0,1901.0,6269.0,646.0,2541.0,562.0,10005.0,2837.0,25469.0,307.0,2164.0,10611.0,430.0,1963.0,8411.0,2632.0,690.0,4145.0,1759.0,10697.0,8593.0,635.0
84,2743.0,671.0,3083.0,685.0,777.0,5282.0,1549.0,7053.0,6663.0,4705.0,3715.0,23706.0,844.0,43.0,26052.0,10567.0,8427.0,31246.0,4258.0,16689.0,1127.0,9111.0,2531.0,4145.0,2485.0,10731.0,3814.0,1801.0,8889.0,2329.0,13372.0
85,9698.0,18029.0,6383.0,11154.0,8192.0,3394.0,12591.0,19825.0,6986.0,12846.0,6938.0,10075.0,3224.0,3475.0,271.0,3812.0,2932.0,5017.0,3783.0,3043.0,16682.0,18167.0,6364.0,17737.0,3654.0,11302.0,2948.0,14543.0,15170.0,3675.0,8215.0
86,12053.0,6464.0,6345.0,13224.0,21348.0,11797.0,4803.0,7480.0,7805.0,3092.0,4592.0,451.0,34.0,1171.0,5350.0,2332.0,2442.0,2410.0,5882.0,2902.0,2542.0,6775.0,2692.0,19909.0,6245.0,3019.0,3896.0,12281.0,31019.0,32547.0,23500.0
87,12748.0,22217.0,9083.0,26254.0,23288.0,13955.0,19165.0,29079.0,5382.0,8178.0,23292.0,23681.0,3534.0,2886.0,4720.0,775.0,511.0,961.0,482.0,456.0,4453.0,12219.0,9761.0,15949.0,3347.0,25854.0,895.0,873.0,7851.0,4060.0,660.0
88,2462.0,12813.0,2348.0,1059.0,8586.0,20205.0,12935.0,866.0,2405.0,437.0,10996.0,30821.0,10259.0,12198.0,11353.0,7967.0,4646.0,11496.0,11762.0,25523.0,16878.0,10058.0,550.0,9824.0,16021.0,23052.0,2037.0,6853.0,8010.0,9754.0,11912.0
89,6404.0,6583.0,23325.0,6893.0,15944.0,504.0,4112.0,21672.0,7441.0,21969.0,942.0,11204.0,19549.0,14428.0,32452.0,11609.0,7496.0,17544.0,748.0,4837.0,4332.0,19088.0,24347.0,675.0,2831.0,6193.0,13472.0,1008.0,11770.0,14775.0,1012.0
